,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
375,2010.0,Major Pettigrew's Last Stand,Helen Simonson,eng,Intermediate,3.87,97745,genre fiction,396.474,2.99,408,Simon and Schuster Digital Sales Inc,5967,17841.33
376,2009.0,Vision in White,Nora Roberts,eng,Excellent,4.1,103933,genre fiction,262.68,1.99,409,Random House LLC,5940,11820.6
377,2006.0,The Tenth Circle,Jodi Picoult,eng,Novice,3.48,99170,genre fiction,2373.36,17.98,409,"Amazon Digital Services,  Inc.",5940,106801.2
378,2011.0,The Throne of Fire,Rick Riordan,eng,Excellent,4.2,116360,nonfiction,1240.416,9.44,411,"Amazon Digital Services,  Inc.",5913,55818.72
379,2005.0,Old Man's War,John Scalzi,eng,Excellent,4.23,97653,genre fiction,787.086,5.99,412,Macmillan,5913,35418.87
381,1996.0,Two for the Dough,Janet Evanovich,eng,Excellent,4.11,116171,nonfiction,1306.692,9.99,414,"Amazon Digital Services,  Inc.",5886,58801.14
385,2003.0,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,eng,Intermediate,3.57,94696,genre fiction,0.0,4.99,419,"Amazon Digital Services,  Inc.",5805,28966.95
386,2006.0,The Blade Itself,Joe Abercrombie,eng,Excellent,4.14,97501,genre fiction,1030.71,7.99,419,Random House LLC,5805,46381.95
387,2002.0,The Arctic Incident,Eoin Colfer,eng,Intermediate,3.94,108031,nonfiction,385.71,2.99,420,"Amazon Digital Services,  Inc.",5805,17356.95
389,2011.0,äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•,"Marie KondÅ, Cathy Hirano",eng,Intermediate,3.77,105063,genre fiction,509.922,3.99,423,"Amazon Digital Services,  Inc.",5751,22946.49
390,2015.0,All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",eng,Excellent,4.19,132087,genre fiction,254.322,1.99,423,HarperCollins Publishers,5751,11444.49
391,1997.0,DÃ©jÃ  Dead,Kathy Reichs,eng,Intermediate,3.86,100369,genre fiction,637.722,4.99,424,Hachette Book Group,5751,28697.49
392,2007.0,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,eng,Intermediate,3.84,58396,genre fiction,1016.328,7.99,425,Penguin Group (USA) LLC,5724,45734.76
393,2011.0,The Marriage Plot,Jeffrey Eugenides,eng,Novice,3.42,90551,genre fiction,648.192,5.12,427,Random House LLC,5697,29168.64
394,1998.0,Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",eng,Intermediate,3.89,89770,genre fiction,0.0,2.99,428,"Amazon Digital Services,  Inc.",5697,17034.030000000002
395,2015.0,Luckiest Girl Alive,Jessica Knoll,eng,Novice,3.48,82504,genre fiction,1204.56,9.56,430,Simon and Schuster Digital Sales Inc,5670,54205.2
396,2004.0,"Crank (Crank, #1)",Ellen Hopkins,eng,Excellent,4.16,104168,genre fiction,0.0,3.99,431,"Amazon Digital Services,  Inc.",5643,22515.57
397,2012.0,The Raven Boys,Maggie Stiefvater,eng,Excellent,4.05,121727,nonfiction,124.146,0.99,432,"Amazon Digital Services,  Inc.",5643,5586.57
399,2008.0,Olive Kitteridge,Elizabeth Strout,eng,Intermediate,3.78,85019,genre fiction,0.0,0.99,433,"Amazon Digital Services,  Inc.",5616,5559.84
400,2014.0,Not that Kind of Girl,"Lena Dunham, Joana Avillez",eng,Novice,3.33,88251,nonfiction,747.552,5.99,434,Random House LLC,5616,33639.840000000004
401,2001.0,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,eng,Excellent,4.04,85277,genre fiction,0.0,4.99,436,"Amazon Digital Services,  Inc.",5589,27889.11
402,2009.0,Fire,Kristin Cashore,en-US,Excellent,4.12,98180,genre fiction,1474.77,11.99,439,Penguin Group (USA) LLC,5535,66364.65
405,2003.0,Wolves of the Calla,"Stephen King, Bernie Wrightson",eng,Excellent,4.17,98182,genre fiction,0.0,2.99,445,"Amazon Digital Services,  Inc.",5454,16307.46
406,2000.0,His Dark Materials,Philip Pullman,eng,Excellent,4.25,88227,genre fiction,0.0,2.99,445,"Amazon Digital Services,  Inc.",5454,16307.46
407,2012.0,The Edge of Never,J.A. Redmerski,en-US,Excellent,4.26,117508,genre fiction,360.594,2.99,447,Simon and Schuster Digital Sales Inc,5427,16226.73
408,2013.0,Reconstructing Amelia,Kimberly McCreight,eng,Intermediate,3.82,86965,nonfiction,119.394,0.99,447,"Amazon Digital Services,  Inc.",5427,5372.73
409,2014.0,The One Plus One,Jojo Moyes,eng,Intermediate,3.94,87412,genre fiction,239.994,1.99,448,Hachette Book Group,5427,10799.73
410,1998.0,The Hours,Michael Cunningham,en-US,Intermediate,3.91,97462,genre fiction,300.0,2.5,449,HarperCollins Publishers,5400,13500.0
411,2012.0,Wallbanger,Alice Clayton,eng,Excellent,4.1,134805,nonfiction,0.0,9.49,450,"Amazon Digital Services,  Inc.",5400,51246.0
412,1997.0,Holidays on Ice,David Sedaris,eng,Intermediate,3.95,82591,genre fiction,0.0,2.99,452,"Amazon Digital Services,  Inc.",5373,16065.27
413,1996.0,Desperation,Stephen King,eng,Intermediate,3.8,94821,genre fiction,117.612,0.99,453,"Amazon Digital Services,  Inc.",5346,5292.54
414,2011.0,Passion,Lauren Kate,eng,Intermediate,3.89,119735,genre fiction,0.0,3.99,454,"Amazon Digital Services,  Inc.",5346,21330.54
415,2012.0,The Kill Order,James Dashner,eng,Intermediate,3.69,96568,genre fiction,635.916,5.38,455,Random House LLC,5319,28616.22
416,2011.0,Angelfall,Susan Ee,en-US,Excellent,4.19,73886,genre fiction,0.0,0.99,457,"Amazon Digital Services,  Inc.",5292,5239.08
417,2001.0,Empire Falls,Richard Russo,eng,Intermediate,3.91,90811,genre fiction,0.0,2.99,458,"Amazon Digital Services,  Inc.",5292,15823.080000000002
419,2014.0,I'll Give You the Sun,Jandy Nelson,eng,Excellent,4.14,140937,genre fiction,349.83,2.99,460,Simon and Schuster Digital Sales Inc,5265,15742.35
420,1999.0,Survivor,Chuck Palahniuk,en-US,Intermediate,3.93,49551,genre fiction,115.236,0.99,462,HarperCollins Publishers,5238,5185.62
421,2007.0,Shopaholic and Baby,Sophie Kinsella,eng,Intermediate,3.77,98130,genre fiction,0.0,0.99,463,"Amazon Digital Services,  Inc.",5211,5158.89
422,2004.0,The Dark Tower,Stephen King,en-US,Excellent,4.27,93296,genre fiction,0.0,3.99,463,"Amazon Digital Services,  Inc.",5211,20791.89
423,2009.0,Twilight Director's Notebook,Catherine Hardwicke,en-US,Excellent,4.2,88847,genre fiction,1035.648,8.99,465,HarperCollins Publishers,5184,46604.16
